faculty_id	name	fname	fclass	gender	dept_id	dept	bdate	email	phone
200070000	Michael	Rodriguez	Staff	Male	1	Department of Cyber Security	1975-10-05	michael_75r@ajou.ac.kr	010-2707-7161
199970001	Kenneth	Nguyen	Professor	Male	0	Department of Software and Computer Engineering	1974-01-27	kenneth_74n@ajou.ac.kr	010-1498-2710
199270002	Robert	Walker	Professor	Male	4	Department of Applied Artificial Intelligence	1967-12-27	robert_67w@ajou.ac.kr	010-4718-6557
200070003	Joseph	Heo	Professor	Male	3	Department of Military Digital Convergence	1975-12-02	joseph_75h@ajou.ac.kr	010-4272-5925
201070004	Kevin	Hernandez	Staff	Male	1	Department of Cyber Security	1985-01-29	kevin_85h@ajou.ac.kr	010-8055-5686
199070005	Andrew	Sim	Staff	Male	1	Department of Cyber Security	1965-06-15	andrew_65s@ajou.ac.kr	010-9981-0545
200770006	Minseo	Hong	Staff	Female	2	Department of Digital Media	1982-12-03	minseo_82h@ajou.ac.kr	010-3744-5106
200870007	Seoyoon	Thomas	Professor	Female	0	Department of Software and Computer Engineering	1983-02-18	seoyoon_83t@ajou.ac.kr	010-3361-0754
199270008	Edward	Yu	Staff	Male	4	Department of Applied Artificial Intelligence	1967-06-26	edward_67y@ajou.ac.kr	010-5066-8374
200670009	Kevin	Yu	Professor	Male	3	Department of Military Digital Convergence	1981-06-10	kevin_81y@ajou.ac.kr	010-1712-9225
199170010	Deborah	Anderson	Staff	Female	4	Department of Applied Artificial Intelligence	1966-07-28	deborah_66a@ajou.ac.kr	010-4932-3372
200270011	Kimberly	Min	TA	Female	3	Department of Military Digital Convergence	1977-02-05	kimberly_77m@ajou.ac.kr	010-7341-8434
201070012	Jennifer	Harris	Staff	Female	2	Department of Digital Media	1985-03-04	jennifer_85h@ajou.ac.kr	010-8145-7190
201870013	Seohyun	Heo	Staff	Female	1	Department of Cyber Security	1993-09-10	seohyun_93h@ajou.ac.kr	010-9820-6972
200670014	Sarah	Lopez	Staff	Female	3	Department of Military Digital Convergence	1981-06-02	sarah_81l@ajou.ac.kr	010-7756-3603
199470015	Barbara	Lopez	Professor	Female	2	Department of Digital Media	1969-04-17	barbara_69l@ajou.ac.kr	010-2592-7309
200270016	Minseo	Han	Staff	Female	4	Department of Applied Artificial Intelligence	1977-01-27	minseo_77h@ajou.ac.kr	010-9278-6316
200770017	Brian	Song	Staff	Male	0	Department of Software and Computer Engineering	1982-12-18	brian_82s@ajou.ac.kr	010-0032-8536
199170018	Edward	Moore	Staff	Male	3	Department of Military Digital Convergence	1966-09-25	edward_66m@ajou.ac.kr	010-1782-8627
199770019	Seoyeon	Ha	Professor	Female	4	Department of Applied Artificial Intelligence	1972-04-06	seoyeon_72h@ajou.ac.kr	010-0728-8111
199470020	Amanda	Davis	Staff	Female	2	Department of Digital Media	1969-01-13	amanda_69d@ajou.ac.kr	010-4463-3694
200070021	Amanda	Hall	Professor	Female	3	Department of Military Digital Convergence	1975-03-14	amanda_75h@ajou.ac.kr	010-8409-9720
201570022	Amanda	Kim	Staff	Female	4	Department of Applied Artificial Intelligence	1990-04-05	amanda_90k@ajou.ac.kr	010-1709-3015
199170023	Ryan	Han	TA	Male	2	Department of Digital Media	1966-06-08	ryan_66h@ajou.ac.kr	010-9548-1191
201570024	Amanda	Park	Professor	Female	4	Department of Applied Artificial Intelligence	1990-07-19	amanda_90p@ajou.ac.kr	010-8924-1058
200570025	Joonseo	Walker	Staff	Male	4	Department of Applied Artificial Intelligence	1980-09-22	joonseo_80w@ajou.ac.kr	010-2451-6120
199570026	Edward	Hong	Staff	Male	4	Department of Applied Artificial Intelligence	1970-08-15	edward_70h@ajou.ac.kr	010-4395-2935
201370027	James	Garcia	TA	Male	2	Department of Digital Media	1988-06-09	james_88g@ajou.ac.kr	010-4051-4378
199370028	Melissa	Bottier	Staff	Female	4	Department of Applied Artificial Intelligence	1968-10-01	melissa_68b@ajou.ac.kr	010-4956-7174
199670029	Margaret	Song	Professor	Female	4	Department of Applied Artificial Intelligence	1971-02-09	margaret_71s@ajou.ac.kr	010-4672-1596
200270030	David	Han	Professor	Male	1	Department of Cyber Security	1977-08-17	david_77h@ajou.ac.kr	010-4221-5854
201170031	Hajoon	Thomas	Professor	Male	0	Department of Software and Computer Engineering	1986-03-10	hajoon_86t@ajou.ac.kr	010-3141-9585
199770032	Jiwoo	Johnson	Staff	Female	3	Department of Military Digital Convergence	1972-07-14	jiwoo_72j@ajou.ac.kr	010-6425-6771
201670033	Daniel	Park	Professor	Male	4	Department of Applied Artificial Intelligence	1991-12-02	daniel_91p@ajou.ac.kr	010-3317-3320
